2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - YGGUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 0 klines for YGGUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=290+0, binance=220 (diff: -70)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | 🔄 Binance counter reset: 290→220, cleared pending=0
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - YGGUSDT 15m
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 1 klines for YGGUSDT 15m
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - CAKEUSDT 15m
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 1 klines for CAKEUSDT 15m
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ORDIUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 0 klines for ORDIUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for OMUSDT 15m from 2025-10-19 04:46:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for OMUSDT 15m from 2025-10-19 04:46:00+00:00 to 2025-10-19 05:16:01.522919+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for OMUSDT 1h from 2025-10-19 04:01:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for OMUSDT 1h from 2025-10-19 04:01:00+00:00 to 2025-10-19 05:16:01.524914+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for OMUSDT 4h from 2025-10-18 20:01:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for OMUSDT 4h from 2025-10-18 20:01:00+00:00 to 2025-10-19 05:16:01.526914+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for STRKUSDT 15m from 2025-10-19 04:46:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for STRKUSDT 15m from 2025-10-19 04:46:00+00:00 to 2025-10-19 05:16:01.530915+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for STRKUSDT 1h from 2025-10-19 04:01:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for STRKUSDT 1h from 2025-10-19 04:01:00+00:00 to 2025-10-19 05:16:01.532915+00:00 (1 days)
